locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCJMANHL_00042	CDS	1125				hypothetical protein
GCJMANHL_00043	CDS	510	def	3.5.1.88	COG0242	Peptide deformylase
GCJMANHL_00044	CDS	948	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
GCJMANHL_00045	CDS	1296	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
GCJMANHL_00046	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
GCJMANHL_00047	CDS	414	mscL		COG1970	Large-conductance mechanosensitive channel
GCJMANHL_00048	CDS	279				hypothetical protein
GCJMANHL_00049	CDS	426	zntR		COG0789	HTH-type transcriptional regulator ZntR
GCJMANHL_00050	CDS	369				hypothetical protein
GCJMANHL_00051	CDS	387	rplQ		COG0203	50S ribosomal protein L17
GCJMANHL_00052	CDS	990	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
GCJMANHL_00053	CDS	621	rpsD		COG0522	30S ribosomal protein S4
GCJMANHL_00054	CDS	357	rpsM		COG0099	30S ribosomal protein S13
GCJMANHL_00055	CDS	1332	secY		COG0201	Protein translocase subunit SecY
GCJMANHL_00056	CDS	435	rplO		COG0200	50S ribosomal protein L15
GCJMANHL_00057	CDS	180	rpmD		COG1841	50S ribosomal protein L30
GCJMANHL_00058	CDS	504	rpsE		COG0098	30S ribosomal protein S5
GCJMANHL_00059	CDS	354	rplR		COG0256	50S ribosomal protein L18
GCJMANHL_00060	CDS	534	rplF		COG0097	50S ribosomal protein L6
GCJMANHL_00061	CDS	393	rpsH		COG0096	30S ribosomal protein S8
GCJMANHL_00062	CDS	306	rpsN		COG0199	30S ribosomal protein S14
GCJMANHL_00063	CDS	540	rplE		COG0094	50S ribosomal protein L5
GCJMANHL_00064	CDS	315	rplX		COG0198	50S ribosomal protein L24
GCJMANHL_00065	CDS	372	rplN		COG0093	50S ribosomal protein L14
GCJMANHL_00066	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
GCJMANHL_00067	CDS	192	rpmC		COG0255	50S ribosomal protein L29
GCJMANHL_00068	CDS	411	rplP		COG0197	50S ribosomal protein L16
GCJMANHL_00069	CDS	699	rpsC		COG0092	30S ribosomal protein S3
GCJMANHL_00070	CDS	333	rplV		COG0091	50S ribosomal protein L22
GCJMANHL_00071	CDS	279	rpsS		COG0185	30S ribosomal protein S19
GCJMANHL_00072	CDS	822	rplB		COG0090	50S ribosomal protein L2
GCJMANHL_00073	CDS	303	rplW		COG0089	50S ribosomal protein L23
GCJMANHL_00074	CDS	606	rplD		COG0088	50S ribosomal protein L4
GCJMANHL_00075	CDS	630	rplC		COG0087	50S ribosomal protein L3
GCJMANHL_00076	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
GCJMANHL_00077	CDS	579				hypothetical protein
GCJMANHL_00078	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
GCJMANHL_00079	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
GCJMANHL_00080	CDS	891	tuf1_1			Elongation factor Tu 1
GCJMANHL_00081	CDS	441				hypothetical protein
GCJMANHL_00082	CDS	993				hypothetical protein
GCJMANHL_00083	CDS	501				hypothetical protein
GCJMANHL_00084	CDS	840	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
GCJMANHL_00085	CDS	348	emrE		COG2076	Multidrug transporter EmrE
GCJMANHL_00086	CDS	780	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
GCJMANHL_00087	CDS	498				IS1595 family transposase ISSsu9
GCJMANHL_00088	CDS	1014	xerC_1			Tyrosine recombinase XerC
GCJMANHL_00089	CDS	351				hypothetical protein
GCJMANHL_00090	CDS	219				Tn3 family transposase Tn2
GCJMANHL_00091	CDS	558	tnpR			Transposon Tn3 resolvase
GCJMANHL_00092	CDS	861	bla_1	3.5.2.6		Beta-lactamase TEM
GCJMANHL_00093	CDS	2508				Tn3 family transposase TnAs3
GCJMANHL_00094	CDS	1152			COG2826	IS30 family transposase IS30
GCJMANHL_00095	CDS	2871				hypothetical protein
GCJMANHL_00096	CDS	1629				hypothetical protein
GCJMANHL_00097	CDS	2313				hypothetical protein
GCJMANHL_00098	CDS	981	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
GCJMANHL_00099	CDS	2850	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
GCJMANHL_00100	CDS	183				hypothetical protein
GCJMANHL_00101	CDS	519				hypothetical protein
GCJMANHL_00102	CDS	264				hypothetical protein
GCJMANHL_00103	CDS	1263	intS_1		COG0582	Prophage integrase IntS
GCJMANHL_00104	tRNA	76				tRNA-Phe(gaa)
GCJMANHL_00105	CDS	2088				hypothetical protein
GCJMANHL_00106	CDS	591				hypothetical protein
GCJMANHL_00107	CDS	1797	dsbD_1	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
GCJMANHL_00108	CDS	324	cutA		COG1324	Divalent-cation tolerance protein CutA
GCJMANHL_00109	CDS	1302	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
GCJMANHL_00110	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
GCJMANHL_00111	CDS	477				hypothetical protein
GCJMANHL_00112	CDS	1251	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
GCJMANHL_00113	CDS	294	groS		COG0234	10 kDa chaperonin
GCJMANHL_00114	CDS	1647	groL			60 kDa chaperonin
GCJMANHL_00115	CDS	354				hypothetical protein
GCJMANHL_00116	CDS	864				hypothetical protein
GCJMANHL_00117	CDS	2124	hlyB		COG2274	Alpha-hemolysin translocation ATP-binding protein HlyB
GCJMANHL_00118	CDS	1287	cvaA		COG0845	Colicin V secretion protein CvaA
GCJMANHL_00119	CDS	366				hypothetical protein
GCJMANHL_00120	CDS	1008				hypothetical protein
GCJMANHL_00121	CDS	2535	fimD_1		COG3188	Outer membrane usher protein FimD
GCJMANHL_00122	CDS	687	fimC_1			Chaperone protein FimC
GCJMANHL_00123	CDS	564				hypothetical protein
GCJMANHL_00124	CDS	675				hypothetical protein
GCJMANHL_00125	CDS	1029	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
GCJMANHL_00126	CDS	567	efp		COG0231	Elongation factor P
GCJMANHL_00127	CDS	132				hypothetical protein
GCJMANHL_00128	CDS	192				hypothetical protein
GCJMANHL_00129	CDS	318	gdx		COG2076	Guanidinium exporter
GCJMANHL_00130	CDS	534	blc_1		COG3040	Outer membrane lipoprotein Blc
GCJMANHL_00131	CDS	360	frdD		COG3080	Fumarate reductase subunit D
GCJMANHL_00132	CDS	396	frdC		COG3029	Fumarate reductase subunit C
GCJMANHL_00133	CDS	735	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
GCJMANHL_00134	CDS	1791	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
GCJMANHL_00135	CDS	978	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
GCJMANHL_00136	CDS	1503	yjeM			Inner membrane transporter YjeM
GCJMANHL_00137	CDS	3330	mscM		COG3264	Miniconductance mechanosensitive channel MscM
GCJMANHL_00138	CDS	963	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
GCJMANHL_00139	CDS	1062	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
GCJMANHL_00140	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
GCJMANHL_00141	CDS	732	artJ_1		COG0834	ABC transporter arginine-binding protein 1
GCJMANHL_00142	tRNA	76				tRNA-Gly(gcc)
GCJMANHL_00143	tRNA	76				tRNA-Gly(gcc)
GCJMANHL_00144	tRNA	76				tRNA-Gly(gcc)
GCJMANHL_00145	CDS	1140	queG	1.17.99.6		Epoxyqueuosine reductase
GCJMANHL_00146	CDS	1512	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
GCJMANHL_00147	CDS	462	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
GCJMANHL_00148	CDS	1353	amiB	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiB
GCJMANHL_00149	CDS	1860	mutL		COG0323	DNA mismatch repair protein MutL
GCJMANHL_00150	CDS	951	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
GCJMANHL_00151	CDS	309	hfq		COG1923	RNA-binding protein Hfq
GCJMANHL_00152	CDS	1281	hflX		COG2262	GTPase HflX
GCJMANHL_00153	CDS	1263	hflK		COG0330	Modulator of FtsH protease HflK
GCJMANHL_00154	CDS	1005	hflC		COG0330	Modulator of FtsH protease HflC
GCJMANHL_00155	CDS	294				hypothetical protein
GCJMANHL_00156	CDS	255				hypothetical protein
GCJMANHL_00157	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
GCJMANHL_00158	CDS	426	nsrR		COG1959	HTH-type transcriptional repressor NsrR
GCJMANHL_00159	CDS	2433	rnr	3.1.13.1	COG0557	Ribonuclease R
GCJMANHL_00160	CDS	732	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
GCJMANHL_00161	CDS	1638	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
GCJMANHL_00162	CDS	276				hypothetical protein
GCJMANHL_00163	CDS	309	bsmA			Lipoprotein BsmA
GCJMANHL_00164	CDS	717				hypothetical protein
GCJMANHL_00165	CDS	756	ulaR		COG1349	HTH-type transcriptional regulator UlaR
GCJMANHL_00166	CDS	1065	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
GCJMANHL_00167	CDS	1401	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
GCJMANHL_00168	CDS	306	ulaB_1	2.7.1.194	COG3414	Ascorbate-specific PTS system EIIB component
GCJMANHL_00169	CDS	468	ulaC_1		COG1762	Ascorbate-specific PTS system EIIA component
GCJMANHL_00170	CDS	651	ulaD	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
GCJMANHL_00171	CDS	855	ulaE	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
GCJMANHL_00172	CDS	687	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
GCJMANHL_00173	CDS	1194	yfcJ_1			putative MFS-type transporter YfcJ
GCJMANHL_00174	CDS	276				hypothetical protein
GCJMANHL_00175	CDS	396	rpsF		COG0360	30S ribosomal protein S6
GCJMANHL_00176	CDS	315	priB		COG2965	Primosomal replication protein N
GCJMANHL_00177	CDS	228	rpsR		COG0238	30S ribosomal protein S18
GCJMANHL_00178	CDS	450	rplI		COG0359	50S ribosomal protein L9
GCJMANHL_00179	CDS	675				hypothetical protein
GCJMANHL_00180	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
GCJMANHL_00181	CDS	1404	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
GCJMANHL_00182	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
GCJMANHL_00183	CDS	972	ytfF			Inner membrane protein YtfF
GCJMANHL_00184	CDS	825	rhaS_1			HTH-type transcriptional activator RhaS
GCJMANHL_00185	CDS	849	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
GCJMANHL_00186	CDS	372				hypothetical protein
GCJMANHL_00187	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
GCJMANHL_00188	CDS	744	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
GCJMANHL_00189	CDS	558	ytfJ		COG3054	putative protein YtfJ
GCJMANHL_00190	CDS	207				hypothetical protein
GCJMANHL_00191	CDS	873	araC_1			Arabinose operon regulatory protein
GCJMANHL_00192	CDS	2010	bgaA	3.2.1.23	COG1874	Beta-galactosidase BgaA
GCJMANHL_00193	CDS	1233	rafB_1			Raffinose permease
GCJMANHL_00194	CDS	1338				hypothetical protein
GCJMANHL_00195	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
GCJMANHL_00196	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
GCJMANHL_00197	CDS	3777	tamB		COG2911	Translocation and assembly module subunit TamB
GCJMANHL_00198	CDS	345	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein ytfP
GCJMANHL_00199	CDS	201				hypothetical protein
GCJMANHL_00200	CDS	531	ppa_1	3.6.1.1	COG0221	Inorganic pyrophosphatase
GCJMANHL_00201	CDS	957	ytfQ_1			ABC transporter periplasmic-binding protein YtfQ
GCJMANHL_00202	CDS	1503	fruK	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
GCJMANHL_00203	CDS	1026	ytfT			Inner membrane ABC transporter permease protein YtfT
GCJMANHL_00204	CDS	975	yjfF			Inner membrane ABC transporter permease protein YjfF
GCJMANHL_00205	CDS	999	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
GCJMANHL_00206	CDS	1062	mpl_1	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
GCJMANHL_00207	CDS	399	mpl_2	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
GCJMANHL_00208	CDS	528				hypothetical protein
GCJMANHL_00209	CDS	1209				hypothetical protein
GCJMANHL_00210	CDS	552				hypothetical protein
GCJMANHL_00211	CDS	1341	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
GCJMANHL_00212	CDS	387	cybC		COG3783	Soluble cytochrome b562
GCJMANHL_00213	CDS	339				hypothetical protein
GCJMANHL_00214	CDS	363				hypothetical protein
GCJMANHL_00215	CDS	300				hypothetical protein
GCJMANHL_00216	CDS	777				hypothetical protein
GCJMANHL_00217	CDS	645				hypothetical protein
GCJMANHL_00218	CDS	1134		3.1.1.-	COG3964	Deacetylase
GCJMANHL_00219	CDS	1119	dgaE	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
GCJMANHL_00220	CDS	741	dgaF	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
GCJMANHL_00221	CDS	1155	pgl_1	3.1.1.31	COG2706	6-phosphogluconolactonase
GCJMANHL_00222	CDS	1911	licR		COG1762	putative licABCH operon regulator
GCJMANHL_00223	CDS	243	relB		COG3077	Antitoxin RelB
GCJMANHL_00224	CDS	285	relE	3.1.-.-	COG2026	mRNA interferase toxin RelE
GCJMANHL_00225	CDS	465	nrdG	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
GCJMANHL_00226	CDS	2139	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
GCJMANHL_00227	CDS	744	hexR_1		COG1737	HTH-type transcriptional regulator HexR
GCJMANHL_00228	CDS	309	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
GCJMANHL_00229	CDS	1308	licH_1	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
GCJMANHL_00230	CDS	1353	licC_1		COG1455	Lichenan permease IIC component
GCJMANHL_00231	CDS	1656	treC	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
GCJMANHL_00232	CDS	1419	treB		COG1263	PTS system trehalose-specific EIIBC component
GCJMANHL_00233	CDS	948	treR		COG1609	HTH-type transcriptional regulator TreR
GCJMANHL_00234	CDS	2709	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
GCJMANHL_00235	CDS	387	ridA_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
GCJMANHL_00236	CDS	462	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
GCJMANHL_00237	CDS	936	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
GCJMANHL_00238	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
GCJMANHL_00239	CDS	1005	argI	2.1.3.3	COG0078	Ornithine carbamoyltransferase subunit I
GCJMANHL_00240	CDS	423	rraB		COG3076	Regulator of ribonuclease activity B
GCJMANHL_00241	CDS	765				hypothetical protein
GCJMANHL_00242	CDS	504				hypothetical protein
GCJMANHL_00243	CDS	2856	valS	6.1.1.9	COG0525	Valine--tRNA ligase
GCJMANHL_00244	CDS	444	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
GCJMANHL_00245	CDS	1512	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
GCJMANHL_00246	CDS	1098	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
GCJMANHL_00247	CDS	1083	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
GCJMANHL_00248	CDS	1503				hypothetical protein
GCJMANHL_00249	CDS	822	iolI	5.3.99.11	COG1082	Inosose isomerase
GCJMANHL_00250	CDS	1506	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
GCJMANHL_00251	CDS	810	iolB	5.3.1.30	COG3718	5-deoxy-glucuronate isomerase
GCJMANHL_00252	CDS	1032				IS630 family transposase ISEc33
GCJMANHL_00253	CDS	123				hypothetical protein
GCJMANHL_00254	CDS	675	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
GCJMANHL_00255	CDS	843	nimR_1			HTH-type transcriptional regulator NimR
GCJMANHL_00256	CDS	387				hypothetical protein
GCJMANHL_00257	CDS	2046	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
GCJMANHL_00258	CDS	750	ydfG_1	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
GCJMANHL_00259	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
GCJMANHL_00260	CDS	432	uspG_1		COG0589	Universal stress protein UP12
GCJMANHL_00261	CDS	1464	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
GCJMANHL_00262	CDS	1284	lgoT			putative L-galactonate transporter
GCJMANHL_00263	CDS	249				hypothetical protein
GCJMANHL_00264	CDS	342				hypothetical protein
GCJMANHL_00265	CDS	561	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
GCJMANHL_00266	CDS	711				hypothetical protein
GCJMANHL_00267	CDS	270	ynfD			putative protein YnfD
GCJMANHL_00268	CDS	2436	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
GCJMANHL_00269	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCJMANHL_00270	CDS	1032				IS630 family transposase ISEc33
GCJMANHL_00271	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
GCJMANHL_00272	CDS	153	hokE			Toxic protein HokE
GCJMANHL_00273	CDS	237	vdcD			Protein VdcD
GCJMANHL_00274	CDS	1428	edcC	4.1.1.61	COG0043	Phenolic acid decarboxylase
GCJMANHL_00275	CDS	594	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
GCJMANHL_00276	CDS	408	hosA			Transcriptional regulator HosA
GCJMANHL_00277	CDS	888	dmlR_1			HTH-type transcriptional regulator DmlR
GCJMANHL_00278	CDS	1203	jefA_1			Drug efflux pump JefA
GCJMANHL_00279	CDS	378				hypothetical protein
GCJMANHL_00280	CDS	993	rpoS		COG0568	RNA polymerase sigma factor RpoS
GCJMANHL_00281	CDS	1137	nlpD_1			Murein hydrolase activator NlpD
GCJMANHL_00282	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
GCJMANHL_00283	CDS	762	surE_1	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
GCJMANHL_00284	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
GCJMANHL_00285	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
GCJMANHL_00286	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
GCJMANHL_00287	CDS	318	ftsB		COG2919	Cell division protein FtsB
GCJMANHL_00288	CDS	327	ygbE			Inner membrane protein YgbE
GCJMANHL_00289	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
GCJMANHL_00290	CDS	1428	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
GCJMANHL_00291	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
GCJMANHL_00292	CDS	846	cysG_1		COG0007	Siroheme synthase
GCJMANHL_00293	CDS	123				hypothetical protein
GCJMANHL_00294	CDS	1263				IS1380 family transposase ISEcp1
GCJMANHL_00295	CDS	504			COG1662	IS1 family transposase IS1R
GCJMANHL_00296	CDS	2316				hypothetical protein
GCJMANHL_00297	CDS	573				hypothetical protein
GCJMANHL_00298	CDS	1608	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
GCJMANHL_00299	CDS	1203				hypothetical protein
GCJMANHL_00300	CDS	2916	hsdR	3.1.21.3		Type-1 restriction enzyme R protein
GCJMANHL_00301	CDS	1848				hypothetical protein
GCJMANHL_00302	CDS	756				hypothetical protein
GCJMANHL_00303	CDS	648				hypothetical protein
GCJMANHL_00304	CDS	621				hypothetical protein
GCJMANHL_00305	CDS	1407				hypothetical protein
GCJMANHL_00306	CDS	237				hypothetical protein
GCJMANHL_00307	CDS	1002				hypothetical protein
GCJMANHL_00308	CDS	159				hypothetical protein
GCJMANHL_00309	CDS	615	vbhT	2.7.7.-		Protein adenylyltransferase VbhT
GCJMANHL_00310	CDS	1317				hypothetical protein
GCJMANHL_00311	CDS	858	pdeG_1	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
GCJMANHL_00312	CDS	927	fimH_1			Type 1 fimbrin D-mannose specific adhesin
GCJMANHL_00313	CDS	474	fimG_1			Protein FimG
GCJMANHL_00314	CDS	528	fimF_1			Protein FimF
GCJMANHL_00315	CDS	1773	fimD_2		COG3188	Outer membrane usher protein FimD
GCJMANHL_00316	CDS	1032				IS630 family transposase ISEc33
GCJMANHL_00317	CDS	504			COG1662	IS1 family transposase IS1R
GCJMANHL_00318	CDS	111				hypothetical protein
GCJMANHL_00319	CDS	573				hypothetical protein
GCJMANHL_00320	CDS	501				hypothetical protein
GCJMANHL_00321	CDS	846				hypothetical protein
GCJMANHL_00322	CDS	648				hypothetical protein
GCJMANHL_00323	CDS	549	fim_1			Fimbrial subunit type 1
GCJMANHL_00324	CDS	513	lpfA_1			putative major fimbrial subunit LpfA
GCJMANHL_00325	CDS	705	fimC_2			Chaperone protein FimC
GCJMANHL_00326	CDS	801	fimD_3		COG3188	Outer membrane usher protein FimD
GCJMANHL_00327	CDS	1032				IS630 family transposase ISEc33
GCJMANHL_00328	CDS	504			COG1662	IS1 family transposase IS1R
GCJMANHL_00329	CDS	294				hypothetical protein
GCJMANHL_00330	CDS	1545	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
GCJMANHL_00331	CDS	1068	rbsC_1		COG1172	Ribose import permease protein RbsC
GCJMANHL_00332	CDS	798	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GCJMANHL_00333	CDS	786	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase
GCJMANHL_00334	CDS	606				hypothetical protein
GCJMANHL_00335	CDS	894	gcvA_1			Glycine cleavage system transcriptional activator
GCJMANHL_00336	CDS	1257	ybdG_1		COG0668	Miniconductance mechanosensitive channel YbdG
GCJMANHL_00337	CDS	447	ivy			Inhibitor of vertebrate lysozyme
GCJMANHL_00338	CDS	2034	betT		COG1292	High-affinity choline transport protein
GCJMANHL_00339	CDS	588	betI_1		COG1309	HTH-type transcriptional regulator BetI
GCJMANHL_00340	CDS	1473	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
GCJMANHL_00341	CDS	1665	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
GCJMANHL_00342	CDS	696				hypothetical protein
GCJMANHL_00343	CDS	1569	ddpA		COG0747	putative D,D-dipeptide-binding periplasmic protein DdpA
GCJMANHL_00344	CDS	1023	dppB_1		COG0601	Dipeptide transport system permease protein DppB
GCJMANHL_00345	CDS	834	ddpC_1		COG1173	putative D,D-dipeptide transport system permease protein DdpC
GCJMANHL_00346	CDS	837	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
GCJMANHL_00347	CDS	705	ddpF		COG1124	putative D,D-dipeptide transport ATP-binding protein DdpF
GCJMANHL_00348	CDS	651	tpa	2.6.1.77	COG0161	Taurine--pyruvate aminotransferase
GCJMANHL_00349	CDS	660	argD_1	2.6.1.17		Acetylornithine/succinyldiaminopimelate aminotransferase
