locus_tag	ftype	length_bp	gene	EC_number	COG	product
BBPJPPNJ_00032	CDS	249				hypothetical protein
BBPJPPNJ_00033	CDS	699	pncB2_1	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
BBPJPPNJ_00034	CDS	2388	rnr_1	3.1.13.1	COG0557	Ribonuclease R
BBPJPPNJ_00035	CDS	660	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
BBPJPPNJ_00036	CDS	873				hypothetical protein
BBPJPPNJ_00037	CDS	387				hypothetical protein
BBPJPPNJ_00038	CDS	135				hypothetical protein
BBPJPPNJ_00039	CDS	597	ureG_1		COG0378	Urease accessory protein UreG
BBPJPPNJ_00040	CDS	912				hypothetical protein
BBPJPPNJ_00041	CDS	330				hypothetical protein
BBPJPPNJ_00042	CDS	903				hypothetical protein
BBPJPPNJ_00043	CDS	1410	era_1			GTPase Era
BBPJPPNJ_00044	CDS	1029				hypothetical protein
BBPJPPNJ_00045	CDS	645				hypothetical protein
BBPJPPNJ_00046	CDS	273				hypothetical protein
BBPJPPNJ_00047	CDS	1239	ackA	2.7.2.1	COG0282	Acetate kinase
BBPJPPNJ_00048	CDS	153				hypothetical protein
BBPJPPNJ_00049	CDS	966	ndmA_1	1.14.13.178		Methylxanthine N1-demethylase NdmA
BBPJPPNJ_00050	CDS	1323	denK	2.7.1.220	COG3395	D-erythronate kinase
BBPJPPNJ_00051	CDS	1182	gltA	2.3.3.16	COG0372	Citrate synthase
BBPJPPNJ_00052	CDS	498				Pentapeptide repeat protein Rfr32
BBPJPPNJ_00053	CDS	486	apcD_1			Allophycocyanin subunit alpha-B
BBPJPPNJ_00054	CDS	1623	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
BBPJPPNJ_00055	CDS	975		1.1.1.1		Alcohol dehydrogenase
BBPJPPNJ_00056	CDS	1578				putative protein
BBPJPPNJ_00057	CDS	522				hypothetical protein
BBPJPPNJ_00058	CDS	654				hypothetical protein
BBPJPPNJ_00059	CDS	843				hypothetical protein
BBPJPPNJ_00060	CDS	717	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
BBPJPPNJ_00061	CDS	846	lpxG_1	3.6.1.-	COG1408	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
BBPJPPNJ_00062	CDS	1449	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
BBPJPPNJ_00063	CDS	2130				hypothetical protein
BBPJPPNJ_00064	CDS	546	aqpZ			Aquaporin Z
BBPJPPNJ_00065	CDS	333				hypothetical protein
BBPJPPNJ_00066	CDS	1014	gap3	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 3
BBPJPPNJ_00067	CDS	1263				hypothetical protein
BBPJPPNJ_00068	CDS	1059	sphX		COG0226	Protein SphX
BBPJPPNJ_00069	CDS	471				hypothetical protein
BBPJPPNJ_00070	CDS	489				hypothetical protein
BBPJPPNJ_00071	CDS	459				hypothetical protein
BBPJPPNJ_00072	CDS	363	ybiA_1	3.2.2.-	COG3236	N-glycosidase YbiA
BBPJPPNJ_00073	CDS	1305	htrA_1			Putative serine protease HtrA
BBPJPPNJ_00074	CDS	1338				hypothetical protein
BBPJPPNJ_00075	CDS	558		1.11.1.15		Peroxiredoxin
BBPJPPNJ_00076	CDS	1062	desA_1	1.14.19.6		Delta(12)-fatty-acid desaturase
BBPJPPNJ_00077	CDS	552	cpcS_1	4.-.-.-		Chromophore lyase CpcS/CpeS
BBPJPPNJ_00078	CDS	690				hypothetical protein
BBPJPPNJ_00079	CDS	1272	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
BBPJPPNJ_00080	CDS	957				hypothetical protein
BBPJPPNJ_00081	CDS	1263	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
BBPJPPNJ_00082	CDS	981				hypothetical protein
BBPJPPNJ_00083	CDS	669				hypothetical protein
BBPJPPNJ_00084	CDS	489				hypothetical protein
BBPJPPNJ_00085	CDS	465				hypothetical protein
BBPJPPNJ_00086	tRNA	87				tRNA-Ser(tga)
BBPJPPNJ_00087	CDS	1536	dbpA_1	3.6.4.13		ATP-dependent RNA helicase DbpA
BBPJPPNJ_00088	CDS	492				hypothetical protein
BBPJPPNJ_00089	CDS	795				hypothetical protein
BBPJPPNJ_00090	CDS	1911	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BBPJPPNJ_00091	CDS	450	rcp1_1			Response regulator rcp1
BBPJPPNJ_00092	CDS	1446	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
BBPJPPNJ_00093	CDS	228				hypothetical protein
BBPJPPNJ_00094	CDS	1251				hypothetical protein
BBPJPPNJ_00095	CDS	981	sigA2_1		COG0568	RNA polymerase sigma factor SigA2
BBPJPPNJ_00096	CDS	537				hypothetical protein
BBPJPPNJ_00097	CDS	288				hypothetical protein
BBPJPPNJ_00098	CDS	141				hypothetical protein
BBPJPPNJ_00099	CDS	213				hypothetical protein
BBPJPPNJ_00100	CDS	2109	htpX_1	3.4.24.-		Protease HtpX
BBPJPPNJ_00101	CDS	594	lemA		COG1704	Protein LemA
BBPJPPNJ_00102	CDS	672				hypothetical protein
BBPJPPNJ_00103	CDS	1512	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
BBPJPPNJ_00104	CDS	1656				hypothetical protein
BBPJPPNJ_00105	CDS	1218	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
BBPJPPNJ_00106	CDS	1473	yjmB_1		COG2211	putative symporter YjmB
BBPJPPNJ_00107	CDS	366	doxA			Naphthalene 1,2-dioxygenase system, ferredoxin component
BBPJPPNJ_00108	CDS	375				hypothetical protein
BBPJPPNJ_00109	CDS	1725				hypothetical protein
BBPJPPNJ_00110	CDS	1056	htrA_2			Putative serine protease HtrA
BBPJPPNJ_00111	CDS	771				hypothetical protein
BBPJPPNJ_00112	CDS	714	gph_1	3.1.3.18		Phosphoglycolate phosphatase
BBPJPPNJ_00113	CDS	1830	kimA_1		COG0531	Potassium transporter KimA
BBPJPPNJ_00114	CDS	465				hypothetical protein
BBPJPPNJ_00115	CDS	786				hypothetical protein
BBPJPPNJ_00116	CDS	195				hypothetical protein
BBPJPPNJ_00117	CDS	456				hypothetical protein
BBPJPPNJ_00118	CDS	627				hypothetical protein
BBPJPPNJ_00119	CDS	342				hypothetical protein
BBPJPPNJ_00120	CDS	639				IS982 family transposase ISPasp2
BBPJPPNJ_00121	CDS	237				hypothetical protein
BBPJPPNJ_00122	CDS	210				hypothetical protein
BBPJPPNJ_00123	CDS	234				hypothetical protein
BBPJPPNJ_00124	CDS	1527	chlB_1	1.3.7.7		Light-independent protochlorophyllide reductase subunit B
BBPJPPNJ_00125	CDS	546				hypothetical protein
BBPJPPNJ_00126	CDS	1767	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
BBPJPPNJ_00127	CDS	2196	xfp	4.1.2.22		Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
BBPJPPNJ_00128	CDS	441				hypothetical protein
BBPJPPNJ_00129	CDS	288				hypothetical protein
BBPJPPNJ_00130	CDS	231				hypothetical protein
BBPJPPNJ_00131	CDS	1173				hypothetical protein
BBPJPPNJ_00132	CDS	669				hypothetical protein
BBPJPPNJ_00133	CDS	375				hypothetical protein
BBPJPPNJ_00134	CDS	1104	mnaA	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
BBPJPPNJ_00135	CDS	435				hypothetical protein
BBPJPPNJ_00136	CDS	3735	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
BBPJPPNJ_00137	CDS	627	dedA		COG0586	Protein DedA
BBPJPPNJ_00138	CDS	1359				hypothetical protein
BBPJPPNJ_00139	CDS	1677			COG0659	putative sulfate transporter
BBPJPPNJ_00140	CDS	636				hypothetical protein
BBPJPPNJ_00141	CDS	885	uppP_1	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
BBPJPPNJ_00142	CDS	1164				hypothetical protein
BBPJPPNJ_00143	CDS	1254	mntH_1		COG1914	Divalent metal cation transporter MntH
BBPJPPNJ_00144	CDS	888	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
BBPJPPNJ_00145	CDS	1176	mdtH_1			Multidrug resistance protein MdtH
BBPJPPNJ_00146	CDS	240				hypothetical protein
BBPJPPNJ_00147	CDS	471				hypothetical protein
BBPJPPNJ_00148	CDS	768				hypothetical protein
BBPJPPNJ_00149	CDS	768				hypothetical protein
BBPJPPNJ_00150	CDS	93				hypothetical protein
BBPJPPNJ_00151	CDS	771				hypothetical protein
BBPJPPNJ_00152	CDS	1005	ddl_1	6.3.2.4		D-alanine--D-alanine ligase
BBPJPPNJ_00153	CDS	456				hypothetical protein
BBPJPPNJ_00154	CDS	429				hypothetical protein
BBPJPPNJ_00155	CDS	645				hypothetical protein
BBPJPPNJ_00156	CDS	528				hypothetical protein
BBPJPPNJ_00157	CDS	1251	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
BBPJPPNJ_00158	CDS	510				hypothetical protein
BBPJPPNJ_00159	CDS	162				hypothetical protein
BBPJPPNJ_00160	CDS	429	merR1_1			Mercuric resistance operon regulatory protein
BBPJPPNJ_00161	CDS	435				hypothetical protein
BBPJPPNJ_00162	CDS	1305	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
BBPJPPNJ_00163	CDS	828	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
BBPJPPNJ_00164	CDS	519	dnaJ_1			Chaperone protein DnaJ
BBPJPPNJ_00165	CDS	1512	cry			Cryptochrome DASH
BBPJPPNJ_00166	CDS	381				hypothetical protein
BBPJPPNJ_00167	CDS	573				hypothetical protein
BBPJPPNJ_00168	CDS	1296				hypothetical protein
BBPJPPNJ_00169	CDS	675	gph_2	3.1.3.18		Phosphoglycolate phosphatase
BBPJPPNJ_00170	CDS	261				hypothetical protein
BBPJPPNJ_00171	CDS	2082	prlC	3.4.24.70	COG0339	Oligopeptidase A
BBPJPPNJ_00172	CDS	357				hypothetical protein
BBPJPPNJ_00173	CDS	909		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
BBPJPPNJ_00174	CDS	894				hypothetical protein
BBPJPPNJ_00175	CDS	732				hypothetical protein
BBPJPPNJ_00176	CDS	822	egtB_2	1.14.99.50		Hercynine oxygenase
BBPJPPNJ_00177	CDS	168				hypothetical protein
BBPJPPNJ_00178	CDS	768				hypothetical protein
BBPJPPNJ_00179	CDS	663				hypothetical protein
BBPJPPNJ_00180	CDS	543				hypothetical protein
BBPJPPNJ_00181	CDS	276				hypothetical protein
BBPJPPNJ_00182	CDS	264				hypothetical protein
BBPJPPNJ_00183	CDS	414				hypothetical protein
BBPJPPNJ_00184	CDS	1437	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
BBPJPPNJ_00185	CDS	351				hypothetical protein
BBPJPPNJ_00186	CDS	414	merR1_2			Mercuric resistance operon regulatory protein
BBPJPPNJ_00187	CDS	1098	dnaB_1	3.6.4.12		Replicative DNA helicase
BBPJPPNJ_00188	CDS	1098	dnaB_2	3.6.4.12		Replicative DNA helicase
BBPJPPNJ_00189	CDS	951	per_1	2.6.1.102	COG0399	GDP-perosamine synthase
BBPJPPNJ_00190	CDS	432				hypothetical protein
BBPJPPNJ_00191	CDS	705	pyrE_1	2.4.2.10		Orotate phosphoribosyltransferase
BBPJPPNJ_00192	CDS	534	cpoB_1			Cell division coordinator CpoB
BBPJPPNJ_00193	CDS	1560				hypothetical protein
BBPJPPNJ_00194	CDS	402				Photosystem II lipoprotein Psb27
BBPJPPNJ_00195	CDS	594				hypothetical protein
BBPJPPNJ_00196	CDS	477	lspA_1	3.4.23.36	COG0597	Lipoprotein signal peptidase
BBPJPPNJ_00197	CDS	489				hypothetical protein
BBPJPPNJ_00198	CDS	777	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
BBPJPPNJ_00199	CDS	681	ntcA_1			Global nitrogen regulator
BBPJPPNJ_00200	CDS	207				hypothetical protein
BBPJPPNJ_00201	CDS	1284	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
BBPJPPNJ_00202	CDS	495			COG1259	putative protein
BBPJPPNJ_00203	CDS	687	ribE	2.5.1.9		Riboflavin synthase
BBPJPPNJ_00204	CDS	1476	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
BBPJPPNJ_00205	CDS	273				hypothetical protein
BBPJPPNJ_00206	CDS	969		2.4.-.-		putative glycosyltransferase
BBPJPPNJ_00207	CDS	393	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
BBPJPPNJ_00208	CDS	198				hypothetical protein
BBPJPPNJ_00209	CDS	183				hypothetical protein
BBPJPPNJ_00210	CDS	1506	dbpA_2	3.6.4.13		ATP-dependent RNA helicase DbpA
BBPJPPNJ_00211	CDS	258				hypothetical protein
BBPJPPNJ_00212	CDS	963				Orange carotenoid-binding protein
BBPJPPNJ_00213	CDS	783				hypothetical protein
BBPJPPNJ_00214	CDS	195				hypothetical protein
BBPJPPNJ_00215	CDS	345				hypothetical protein
BBPJPPNJ_00216	CDS	462				hypothetical protein
BBPJPPNJ_00217	CDS	483	ureE_1			Urease accessory protein UreE
BBPJPPNJ_00218	CDS	825	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
BBPJPPNJ_00219	CDS	846	tagG		COG1682	Teichoic acid translocation permease protein TagG
BBPJPPNJ_00220	CDS	1362	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BBPJPPNJ_00221	CDS	762	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
BBPJPPNJ_00222	CDS	1116	oatA	2.3.1.-		O-acetyltransferase OatA
BBPJPPNJ_00223	CDS	417	fdtA	5.3.2.3		TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase
BBPJPPNJ_00224	CDS	1101	desV_1	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
BBPJPPNJ_00225	CDS	1170				hypothetical protein
BBPJPPNJ_00226	CDS	1176				hypothetical protein
BBPJPPNJ_00227	CDS	1497				hypothetical protein
BBPJPPNJ_00228	CDS	810	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
BBPJPPNJ_00229	CDS	1146	epsD_1	2.4.-.-		Putative glycosyltransferase EpsD
BBPJPPNJ_00230	CDS	2685	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
BBPJPPNJ_00231	CDS	762	mfppA	3.1.3.79	COG0561	Mannosylfructose-phosphate phosphatase
BBPJPPNJ_00232	CDS	603	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
BBPJPPNJ_00233	CDS	2376	smc_1			Chromosome partition protein Smc
BBPJPPNJ_00234	CDS	237	cpcA1_1			C-phycocyanin-1 alpha chain
BBPJPPNJ_00235	CDS	816	cpcE	4.-.-.-	COG1413	Phycocyanobilin lyase subunit alpha
BBPJPPNJ_00236	CDS	408				hypothetical protein
BBPJPPNJ_00237	CDS	189				hypothetical protein
BBPJPPNJ_00238	CDS	573	def_1	3.5.1.88	COG0242	Peptide deformylase
BBPJPPNJ_00239	CDS	621				hypothetical protein
BBPJPPNJ_00240	CDS	522				hypothetical protein
BBPJPPNJ_00241	CDS	582				hypothetical protein
BBPJPPNJ_00242	CDS	219				hypothetical protein
BBPJPPNJ_00243	CDS	1248	argJ			Arginine biosynthesis bifunctional protein ArgJ
BBPJPPNJ_00244	CDS	447				hypothetical protein
BBPJPPNJ_00245	CDS	558				hypothetical protein
BBPJPPNJ_00246	CDS	453		2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
BBPJPPNJ_00247	CDS	1077				hypothetical protein
BBPJPPNJ_00248	CDS	852				hypothetical protein
BBPJPPNJ_00249	CDS	1071				hypothetical protein
BBPJPPNJ_00250	CDS	1056				hypothetical protein
BBPJPPNJ_00251	CDS	318				hypothetical protein
BBPJPPNJ_00252	CDS	312				hypothetical protein
BBPJPPNJ_00253	CDS	813				hypothetical protein
BBPJPPNJ_00254	CDS	393				hypothetical protein
BBPJPPNJ_00255	CDS	459				hypothetical protein
BBPJPPNJ_00256	CDS	1410	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
BBPJPPNJ_00257	CDS	1182				hypothetical protein
BBPJPPNJ_00258	CDS	678				hypothetical protein
BBPJPPNJ_00259	CDS	303				hypothetical protein
BBPJPPNJ_00260	CDS	309				hypothetical protein
BBPJPPNJ_00261	CDS	504	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
BBPJPPNJ_00262	CDS	555	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
BBPJPPNJ_00263	CDS	123				hypothetical protein
BBPJPPNJ_00264	CDS	1617				hypothetical protein
BBPJPPNJ_00265	CDS	795	thiG	2.8.1.10	COG2022	Thiazole synthase
BBPJPPNJ_00266	CDS	1137				hypothetical protein
BBPJPPNJ_00267	CDS	1008				hypothetical protein
BBPJPPNJ_00268	CDS	1143	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
BBPJPPNJ_00269	CDS	570				hypothetical protein
BBPJPPNJ_00270	CDS	612				hypothetical protein
BBPJPPNJ_00271	CDS	1662	lnt_1	2.3.1.269		Apolipoprotein N-acyltransferase
BBPJPPNJ_00272	CDS	690				hypothetical protein
BBPJPPNJ_00273	CDS	1038				hypothetical protein
BBPJPPNJ_00274	CDS	3705	tolB_2			Tol-Pal system protein TolB
BBPJPPNJ_00275	CDS	1485				hypothetical protein
BBPJPPNJ_00276	CDS	786	birA	6.3.4.15		Bifunctional ligase/repressor BirA
BBPJPPNJ_00277	CDS	2079	smc_2			Chromosome partition protein Smc
BBPJPPNJ_00278	CDS	138				hypothetical protein
BBPJPPNJ_00279	CDS	468				hypothetical protein
BBPJPPNJ_00280	CDS	2508				hypothetical protein
BBPJPPNJ_00281	CDS	1119				hypothetical protein
BBPJPPNJ_00282	CDS	729	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
BBPJPPNJ_00283	CDS	741	lptD_1			LPS-assembly protein LptD
BBPJPPNJ_00284	CDS	1725	smc_3			Chromosome partition protein Smc
BBPJPPNJ_00285	CDS	180				hypothetical protein
BBPJPPNJ_00286	CDS	366	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
BBPJPPNJ_00287	CDS	528				hypothetical protein
BBPJPPNJ_00288	CDS	2925				hypothetical protein
BBPJPPNJ_00289	CDS	5205	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
BBPJPPNJ_00290	CDS	618				hypothetical protein
BBPJPPNJ_00291	CDS	618	cobO	2.5.1.17		Corrinoid adenosyltransferase
BBPJPPNJ_00292	CDS	291				hypothetical protein
BBPJPPNJ_00293	CDS	2469	pheT	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
BBPJPPNJ_00294	CDS	1422	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
BBPJPPNJ_00295	CDS	483	psaL_1			Photosystem I reaction center subunit XI
BBPJPPNJ_00296	CDS	126	psaJ			Photosystem I reaction center subunit IX
BBPJPPNJ_00297	CDS	498	psaF			Photosystem I reaction center subunit III
BBPJPPNJ_00298	CDS	1050	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
BBPJPPNJ_00299	CDS	813	dnrC	2.1.1.288		Aklanonic acid methyltransferase DnrC
BBPJPPNJ_00300	CDS	573				hypothetical protein
BBPJPPNJ_00301	CDS	906				hypothetical protein
BBPJPPNJ_00302	CDS	2277				hypothetical protein
BBPJPPNJ_00303	tRNA	76				tRNA-Arg(tct)
BBPJPPNJ_00304	CDS	660				hypothetical protein
BBPJPPNJ_00305	CDS	1137				hypothetical protein
BBPJPPNJ_00306	CDS	1236				hypothetical protein
BBPJPPNJ_00307	CDS	1047				hypothetical protein
BBPJPPNJ_00308	CDS	660	ecfA2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
BBPJPPNJ_00309	CDS	753	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
BBPJPPNJ_00310	CDS	585	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
BBPJPPNJ_00311	CDS	237	rpmB		COG0227	50S ribosomal protein L28
BBPJPPNJ_00312	CDS	549				hypothetical protein
BBPJPPNJ_00313	CDS	489				hypothetical protein
BBPJPPNJ_00314	CDS	1374				hypothetical protein
BBPJPPNJ_00315	CDS	756				hypothetical protein
BBPJPPNJ_00316	CDS	474				hypothetical protein
BBPJPPNJ_00317	CDS	513				hypothetical protein
BBPJPPNJ_00318	CDS	333				hypothetical protein
BBPJPPNJ_00319	CDS	456				hypothetical protein
BBPJPPNJ_00320	CDS	1107	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
BBPJPPNJ_00321	CDS	456				hypothetical protein
BBPJPPNJ_00322	CDS	261	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
BBPJPPNJ_00323	CDS	654	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
BBPJPPNJ_00324	CDS	228				hypothetical protein
BBPJPPNJ_00325	CDS	234				hypothetical protein
BBPJPPNJ_00326	CDS	300	parE1		COG3668	Toxin ParE1
BBPJPPNJ_00327	CDS	264				hypothetical protein
BBPJPPNJ_00328	CDS	1533	purH		COG0138	Bifunctional purine biosynthesis protein PurH
BBPJPPNJ_00329	CDS	939	nadK_1	2.7.1.23	COG0061	NAD kinase
BBPJPPNJ_00330	CDS	1143	sigA		COG0568	RNA polymerase sigma factor SigA
BBPJPPNJ_00331	CDS	921				hypothetical protein
BBPJPPNJ_00332	CDS	999				hypothetical protein
BBPJPPNJ_00333	CDS	1215				hypothetical protein
BBPJPPNJ_00334	CDS	2292				hypothetical protein
BBPJPPNJ_00335	CDS	444				hypothetical protein
BBPJPPNJ_00336	CDS	96				hypothetical protein
BBPJPPNJ_00337	CDS	783				hypothetical protein
BBPJPPNJ_00338	CDS	567	sigK_1		COG1595	ECF RNA polymerase sigma factor SigK
BBPJPPNJ_00339	CDS	282				hypothetical protein
BBPJPPNJ_00340	CDS	468				hypothetical protein
BBPJPPNJ_00341	CDS	366				hypothetical protein
BBPJPPNJ_00342	CDS	3651	tolB_3			Tol-Pal system protein TolB
BBPJPPNJ_00343	CDS	771				hypothetical protein
BBPJPPNJ_00344	CDS	2379				hypothetical protein
BBPJPPNJ_00345	CDS	1182				hypothetical protein
BBPJPPNJ_00346	CDS	1191				hypothetical protein
BBPJPPNJ_00347	CDS	150				hypothetical protein
BBPJPPNJ_00348	CDS	216				hypothetical protein
BBPJPPNJ_00349	CDS	450				hypothetical protein
BBPJPPNJ_00350	CDS	501				hypothetical protein
BBPJPPNJ_00351	CDS	657				hypothetical protein
BBPJPPNJ_00352	CDS	276				hypothetical protein
BBPJPPNJ_00353	CDS	660				hypothetical protein
BBPJPPNJ_00354	CDS	495				hypothetical protein
BBPJPPNJ_00355	CDS	441	dnrD_1	5.5.1.23		Aklanonic acid methyl ester cyclase DnrD
BBPJPPNJ_00356	CDS	504				hypothetical protein
BBPJPPNJ_00357	CDS	498				hypothetical protein
BBPJPPNJ_00358	CDS	555				hypothetical protein
BBPJPPNJ_00359	CDS	450				hypothetical protein
BBPJPPNJ_00360	CDS	903	dmlR_1			HTH-type transcriptional regulator DmlR
BBPJPPNJ_00361	CDS	444				hypothetical protein
BBPJPPNJ_00362	CDS	216		5.3.2.-	COG1942	putative tautomerase
BBPJPPNJ_00363	CDS	804	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
BBPJPPNJ_00364	CDS	762				hypothetical protein
BBPJPPNJ_00365	CDS	471				hypothetical protein
BBPJPPNJ_00366	CDS	735	mta_1		COG0789	HTH-type transcriptional activator mta
BBPJPPNJ_00367	CDS	777	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
BBPJPPNJ_00368	CDS	312				hypothetical protein
BBPJPPNJ_00369	CDS	678	sspA_1		COG0625	Stringent starvation protein A
BBPJPPNJ_00370	CDS	1284				hypothetical protein
BBPJPPNJ_00371	CDS	6354				hypothetical protein
BBPJPPNJ_00372	CDS	567				hypothetical protein
BBPJPPNJ_00373	CDS	399				hypothetical protein
BBPJPPNJ_00374	CDS	1437	phrA	4.1.99.3		Deoxyribodipyrimidine photo-lyase
BBPJPPNJ_00375	CDS	1719	ubiB_1	2.7.-.-		protein kinase UbiB
BBPJPPNJ_00376	CDS	882	rmlD_1	1.1.1.133		dTDP-4-dehydrorhamnose reductase
BBPJPPNJ_00377	CDS	417				hypothetical protein
BBPJPPNJ_00378	CDS	1083				hypothetical protein
BBPJPPNJ_00379	CDS	1158	cefD	5.1.1.17	COG0520	Isopenicillin N epimerase
BBPJPPNJ_00380	CDS	1623	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
BBPJPPNJ_00381	CDS	873	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
